			LL DEFAULT	LR DEFAULT
835.	 65.7 	 C0 - 4.0 mA	 C2 - 3.0 mA 	 (0.93 / 1.00) 
836.	 65.7 	 C1 - 3.5 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
837.	 65.7 	 C0 - 4.0 mA	 C2 - 5.5 mA 	 (0.93 / 1.00) 
838.	 65.5 	 C0 - 3.0 mA	 C1 - 2.0 mA 	 (0.97 / 1.00) 
839.	 65.4 	 C0 - 4.0 mA	 C3 - 2.0 mA 	 (0.93 / 1.00) 
840.	 65.4 	 C1 - 4.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
841.	 65.4 	 C1 - 3.0 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
842.	 65.3 	 C3 - 2.0 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
843.	 65.3 	 C1 - 4.0 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
844.	 65.2 	 C1 - 2.5 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
845.	 65.2 	 C3 - 4.0 mA	 C3 - 2.5 mA 	 (0.97 / 0.99) 
846.	 65.2 	 C3 - 5.5 mA	 C3 - 3.5 mA 	 (0.94 / 0.96) 
847.	 65.2 	 C2 - 2.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
848.	 65.1 	 C2 - 5.0 mA	 C3 - 4.0 mA 	 (0.99 / 0.95) 
849.	 65.0 	 C2 - 4.5 mA	 C3 - 3.0 mA 	 (0.99 / 0.97) 
850.	 65.0 	 C2 - 2.0 mA	 C0 - 1.5 mA 	 (1.00 / 1.00) 
851.	 65.0 	 C0 - 5.0 mA	 C3 - 2.5 mA 	 (0.90 / 0.99) 
852.	 64.9 	 C2 - 5.5 mA	 C3 - 4.5 mA 	 (0.98 / 0.93) 
853.	 64.8 	 C2 - 4.0 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
854.	 64.7 	 C1 - 3.0 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
855.	 64.7 	 C0 - 2.0 mA	 C0 - 3.0 mA 	 (0.99 / 1.00) 
856.	 64.6 	 C1 - 4.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
857.	 64.6 	 C3 - 2.5 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
858.	 64.5 	 C1 - 3.5 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
859.	 64.4 	 C0 - 3.0 mA	 C1 - 4.5 mA 	 (0.97 / 1.00) 
860.	 64.4 	 C3 - 3.0 mA	 C2 - 2.5 mA 	 (0.99 / 1.00) 
861.	 64.3 	 C2 - 3.5 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
862.	 64.2 	 C0 - 2.5 mA	 C1 - 3.5 mA 	 (0.98 / 1.00) 
863.	 64.2 	 C2 - 3.5 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
864.	 64.1 	 C3 - 3.0 mA	 C2 - 5.5 mA 	 (0.99 / 1.00) 
865.	 64.1 	 C3 - 1.5 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
866.	 64.1 	 C2 - 1.5 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
867.	 64.0 	 C3 - 4.5 mA	 C3 - 3.0 mA 	 (0.96 / 0.97) 
868.	 63.9 	 C3 - 3.0 mA	 C3 - 2.0 mA 	 (0.99 / 1.00) 
869.	 63.8 	 C3 - 3.0 mA	 C2 - 3.0 mA 	 (0.99 / 1.00) 
870.	 63.8 	 C2 - 3.5 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
871.	 63.8 	 C3 - 5.0 mA	 C3 - 3.5 mA 	 (0.95 / 0.96) 
872.	 63.7 	 C1 - 3.5 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
873.	 63.7 	 C1 - 3.5 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
874.	 63.7 	 C2 - 3.5 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
875.	 63.6 	 C1 - 5.5 mA	 C3 - 2.5 mA 	 (0.97 / 0.99) 
876.	 63.6 	 C2 - 5.5 mA	 C3 - 5.0 mA 	 (0.98 / 0.92) 
877.	 63.5 	 C3 - 5.5 mA	 C3 - 4.0 mA 	 (0.94 / 0.95) 
878.	 63.5 	 C0 - 3.5 mA	 C3 - 1.5 mA 	 (0.95 / 1.00) 
879.	 63.5 	 C3 - 2.5 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
880.	 63.4 	 C1 - 2.5 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
881.	 63.2 	 C0 - 2.0 mA	 C0 - 2.5 mA 	 (0.99 / 1.00) 
882.	 63.2 	 C2 - 2.0 mA	 C1 - 1.5 mA 	 (1.00 / 1.00) 
883.	 63.2 	 C3 - 1.5 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
884.	 63.0 	 C1 - 2.0 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
885.	 63.0 	 C1 - 5.0 mA	 C3 - 2.5 mA 	 (0.98 / 0.99) 
886.	 62.8 	 C1 - 3.0 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
887.	 62.7 	 C2 - 5.0 mA	 C3 - 4.5 mA 	 (0.99 / 0.93) 
888.	 62.7 	 C2 - 3.0 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
889.	 62.6 	 C0 - 2.5 mA	 C0 - 2.0 mA 	 (0.98 / 1.00) 
890.	 62.6 	 C3 - 2.5 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
891.	 62.6 	 C0 - 3.0 mA	 C0 - 1.5 mA 	 (0.97 / 1.00) 
892.	 62.5 	 C3 - 3.5 mA	 C3 - 2.5 mA 	 (0.98 / 0.99) 
893.	 62.4 	 C1 - 2.5 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
894.	 62.3 	 C3 - 2.5 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
895.	 62.2 	 C3 - 2.0 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
896.	 62.2 	 C2 - 5.5 mA	 C3 - 5.5 mA 	 (0.98 / 0.91) 
897.	 62.0 	 C3 - 5.0 mA	 C3 - 4.0 mA 	 (0.95 / 0.95) 
898.	 62.0 	 C3 - 1.5 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
899.	 62.0 	 C1 - 2.5 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
900.	 61.9 	 C1 - 3.5 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
901.	 61.9 	 C2 - 4.5 mA	 C3 - 3.5 mA 	 (0.99 / 0.96) 
902.	 61.8 	 C1 - 4.5 mA	 C3 - 2.5 mA 	 (0.99 / 0.99) 
903.	 61.8 	 C1 - 3.5 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
904.	 61.6 	 C0 - 2.5 mA	 C1 - 3.0 mA 	 (0.98 / 1.00) 
905.	 61.5 	 C0 - 2.5 mA	 C1 - 5.5 mA 	 (0.98 / 1.00) 
906.	 61.5 	 C3 - 4.0 mA	 C3 - 3.0 mA 	 (0.97 / 0.97) 
907.	 61.5 	 C3 - 5.5 mA	 C3 - 4.5 mA 	 (0.94 / 0.93) 
908.	 61.4 	 C1 - 3.5 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
909.	 61.4 	 C1 - 3.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
910.	 61.3 	 C2 - 3.0 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
911.	 61.3 	 C2 - 5.0 mA	 C3 - 5.0 mA 	 (0.99 / 0.92) 
912.	 61.3 	 C3 - 2.5 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
913.	 61.2 	 C3 - 4.5 mA	 C3 - 3.5 mA 	 (0.96 / 0.96) 
914.	 61.1 	 C0 - 4.5 mA	 C3 - 2.5 mA 	 (0.92 / 0.99) 
915.	 61.0 	 C0 - 1.5 mA	 C0 - 2.0 mA 	 (0.99 / 1.00) 
916.	 60.9 	 C0 - 3.5 mA	 C2 - 4.0 mA 	 (0.95 / 1.00) 
917.	 60.8 	 C3 - 1.5 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
918.	 60.8 	 C1 - 3.5 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
919.	 60.8 	 C3 - 2.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
920.	 60.8 	 C1 - 3.0 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
921.	 60.7 	 C1 - 2.5 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
922.	 60.6 	 C3 - 2.5 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
923.	 60.6 	 C2 - 4.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
924.	 60.5 	 C0 - 5.5 mA	 C3 - 3.0 mA 	 (0.89 / 0.97) 
925.	 60.4 	 C1 - 2.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
926.	 60.4 	 C2 - 3.0 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
927.	 60.3 	 C0 - 1.5 mA	 C1 - 3.5 mA 	 (0.99 / 1.00) 
928.	 60.3 	 C0 - 3.5 mA	 C2 - 1.5 mA 	 (0.95 / 1.00) 
929.	 60.2 	 C3 - 5.5 mA	 C3 - 5.0 mA 	 (0.94 / 0.92) 
930.	 60.1 	 C0 - 2.5 mA	 C1 - 5.0 mA 	 (0.98 / 1.00) 
931.	 60.1 	 C1 - 5.5 mA	 C3 - 3.0 mA 	 (0.97 / 0.97) 
932.	 60.1 	 C3 - 2.0 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
933.	 60.1 	 C1 - 3.0 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
934.	 59.9 	 C3 - 2.5 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
935.	 59.9 	 C3 - 5.0 mA	 C3 - 4.5 mA 	 (0.95 / 0.93) 
936.	 59.8 	 C2 - 4.5 mA	 C3 - 4.0 mA 	 (0.99 / 0.95) 
937.	 59.8 	 C1 - 2.5 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
938.	 59.8 	 C1 - 3.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
939.	 59.8 	 C0 - 3.0 mA	 C1 - 1.5 mA 	 (0.97 / 1.00) 
940.	 59.8 	 C2 - 5.0 mA	 C3 - 5.5 mA 	 (0.99 / 0.91) 
941.	 59.8 	 C1 - 4.0 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
942.	 59.7 	 C1 - 2.0 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
943.	 59.5 	 C2 - 2.5 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
944.	 59.4 	 C3 - 2.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
945.	 59.4 	 C0 - 5.0 mA	 C3 - 3.0 mA 	 (0.90 / 0.97) 
946.	 59.4 	 C3 - 4.5 mA	 C3 - 4.0 mA 	 (0.96 / 0.95) 
947.	 59.4 	 C3 - 1.5 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
948.	 59.3 	 C1 - 5.0 mA	 C3 - 3.0 mA 	 (0.98 / 0.97) 
949.	 59.2 	 C3 - 2.5 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
950.	 59.0 	 C3 - 2.0 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
951.	 59.0 	 C3 - 5.5 mA	 C3 - 5.5 mA 	 (0.94 / 0.91) 
952.	 59.0 	 C0 - 2.5 mA	 C1 - 2.5 mA 	 (0.98 / 1.00) 
953.	 58.9 	 C1 - 2.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
954.	 58.8 	 C0 - 2.5 mA	 C1 - 4.0 mA 	 (0.98 / 1.00) 
955.	 58.7 	 C1 - 3.0 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
956.	 58.6 	 C3 - 3.0 mA	 C3 - 2.5 mA 	 (0.99 / 0.99) 
957.	 58.6 	 C0 - 2.0 mA	 C0 - 2.0 mA 	 (0.99 / 1.00) 
958.	 58.6 	 C3 - 4.0 mA	 C3 - 3.5 mA 	 (0.97 / 0.96) 
959.	 58.6 	 C3 - 5.0 mA	 C3 - 5.0 mA 	 (0.95 / 0.92) 
960.	 58.4 	 C3 - 3.5 mA	 C3 - 3.0 mA 	 (0.98 / 0.97) 
961.	 58.3 	 C1 - 2.5 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
962.	 58.2 	 C2 - 3.5 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
963.	 58.1 	 C3 - 1.5 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
964.	 58.1 	 C0 - 4.0 mA	 C3 - 2.5 mA 	 (0.93 / 0.99) 
965.	 58.0 	 C0 - 1.5 mA	 C1 - 5.5 mA 	 (0.99 / 1.00) 
966.	 57.9 	 C0 - 2.5 mA	 C1 - 2.0 mA 	 (0.98 / 1.00) 
967.	 57.9 	 C1 - 4.5 mA	 C3 - 3.0 mA 	 (0.99 / 0.97) 
968.	 57.9 	 C2 - 3.0 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
969.	 57.8 	 C0 - 2.5 mA	 C0 - 1.5 mA 	 (0.98 / 1.00) 
970.	 57.8 	 C3 - 2.0 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
971.	 57.6 	 C1 - 2.0 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
972.	 57.4 	 C1 - 5.5 mA	 C3 - 3.5 mA 	 (0.97 / 0.96) 
973.	 57.3 	 C1 - 2.5 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
974.	 57.2 	 C3 - 5.0 mA	 C3 - 5.5 mA 	 (0.95 / 0.91) 
975.	 57.2 	 C1 - 3.0 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
976.	 57.2 	 C2 - 4.0 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
977.	 57.2 	 C0 - 2.5 mA	 C1 - 4.5 mA 	 (0.98 / 1.00) 
978.	 57.2 	 C2 - 4.5 mA	 C3 - 4.5 mA 	 (0.99 / 0.93) 
979.	 57.1 	 C3 - 4.5 mA	 C3 - 4.5 mA 	 (0.96 / 0.93) 
980.	 56.9 	 C2 - 3.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
981.	 56.9 	 C1 - 1.5 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
982.	 56.7 	 C3 - 4.0 mA	 C3 - 4.0 mA 	 (0.97 / 0.95) 
983.	 56.6 	 C1 - 3.5 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
984.	 56.5 	 C0 - 3.5 mA	 C2 - 4.5 mA 	 (0.95 / 1.00) 
985.	 56.5 	 C2 - 2.0 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
986.	 56.4 	 C1 - 2.0 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
987.	 56.4 	 C1 - 3.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
988.	 56.4 	 C1 - 5.0 mA	 C3 - 3.5 mA 	 (0.98 / 0.96) 
989.	 56.3 	 C2 - 3.0 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
990.	 56.3 	 C2 - 3.0 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
991.	 56.3 	 C0 - 5.5 mA	 C3 - 3.5 mA 	 (0.89 / 0.96) 
992.	 55.9 	 C0 - 3.5 mA	 C3 - 2.0 mA 	 (0.95 / 1.00) 
993.	 55.7 	 C3 - 2.0 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
994.	 55.7 	 C3 - 4.5 mA	 C3 - 5.0 mA 	 (0.96 / 0.92) 
995.	 55.6 	 C2 - 4.5 mA	 C3 - 5.0 mA 	 (0.99 / 0.92) 
996.	 55.6 	 C0 - 1.5 mA	 C1 - 5.0 mA 	 (0.99 / 1.00) 
997.	 55.5 	 C1 - 5.5 mA	 C3 - 4.0 mA 	 (0.97 / 0.95) 
998.	 55.5 	 C1 - 4.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
999.	 55.4 	 C3 - 2.5 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
1000.	 55.2 	 C0 - 2.0 mA	 C1 - 5.5 mA 	 (0.99 / 1.00) 
1001.	 55.2 	 C0 - 2.0 mA	 C1 - 3.5 mA 	 (0.99 / 1.00) 
1002.	 55.2 	 C3 - 3.5 mA	 C3 - 3.5 mA 	 (0.98 / 0.96) 
1003.	 55.1 	 C0 - 1.5 mA	 C1 - 3.0 mA 	 (0.99 / 1.00) 
1004.	 55.1 	 C0 - 5.0 mA	 C3 - 3.5 mA 	 (0.90 / 0.96) 
1005.	 55.1 	 C0 - 4.5 mA	 C3 - 3.0 mA 	 (0.92 / 0.97) 
1006.	 55.0 	 C2 - 4.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1007.	 54.8 	 C2 - 1.5 mA	 C3 - 1.5 mA 	 (1.00 / 1.00) 
1008.	 54.8 	 C0 - 3.5 mA	 C2 - 5.0 mA 	 (0.95 / 1.00) 
1009.	 54.8 	 C3 - 2.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
1010.	 54.7 	 C1 - 4.5 mA	 C3 - 3.5 mA 	 (0.99 / 0.96) 
1011.	 54.5 	 C2 - 2.5 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
1012.	 54.5 	 C2 - 3.0 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
1013.	 54.5 	 C2 - 3.0 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
1014.	 54.4 	 C1 - 5.0 mA	 C3 - 4.0 mA 	 (0.98 / 0.95) 
1015.	 54.4 	 C2 - 2.5 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
1016.	 54.3 	 C3 - 4.5 mA	 C3 - 5.5 mA 	 (0.96 / 0.91) 
1017.	 54.2 	 C0 - 3.5 mA	 C2 - 2.0 mA 	 (0.95 / 1.00) 
1018.	 54.2 	 C3 - 4.0 mA	 C3 - 4.5 mA 	 (0.97 / 0.93) 
1019.	 54.1 	 C3 - 3.0 mA	 C3 - 3.0 mA 	 (0.99 / 0.97) 
1020.	 54.0 	 C0 - 1.5 mA	 C0 - 1.5 mA 	 (0.99 / 1.00) 
1021.	 54.0 	 C2 - 4.5 mA	 C3 - 5.5 mA 	 (0.99 / 0.91) 
1022.	 53.9 	 C1 - 2.5 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
1023.	 53.8 	 C1 - 3.0 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
1024.	 53.7 	 C0 - 3.0 mA	 C3 - 1.5 mA 	 (0.97 / 1.00) 
1025.	 53.7 	 C0 - 5.5 mA	 C3 - 4.0 mA 	 (0.89 / 0.95) 
1026.	 53.5 	 C2 - 3.5 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
1027.	 53.4 	 C3 - 1.5 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
1028.	 53.2 	 C1 - 5.5 mA	 C3 - 4.5 mA 	 (0.97 / 0.93) 
1029.	 53.1 	 C3 - 3.5 mA	 C3 - 4.0 mA 	 (0.98 / 0.95) 
1030.	 53.0 	 C2 - 2.5 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
1031.	 52.8 	 C0 - 2.0 mA	 C1 - 5.0 mA 	 (0.99 / 1.00) 
1032.	 52.8 	 C3 - 4.0 mA	 C3 - 5.0 mA 	 (0.97 / 0.92) 
1033.	 52.6 	 C0 - 3.5 mA	 C2 - 5.5 mA 	 (0.95 / 1.00) 
1034.	 52.6 	 C1 - 4.5 mA	 C3 - 4.0 mA 	 (0.99 / 0.95) 
1035.	 52.6 	 C0 - 2.0 mA	 C0 - 1.5 mA 	 (0.99 / 1.00) 
1036.	 52.5 	 C3 - 2.0 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
1037.	 52.4 	 C0 - 5.0 mA	 C3 - 4.0 mA 	 (0.90 / 0.95) 
1038.	 52.3 	 C1 - 2.0 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
1039.	 52.1 	 C1 - 4.0 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1040.	 52.1 	 C2 - 4.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1041.	 52.0 	 C1 - 3.5 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
1042.	 52.0 	 C0 - 3.5 mA	 C2 - 3.5 mA 	 (0.95 / 1.00) 
1043.	 51.9 	 C1 - 5.0 mA	 C3 - 4.5 mA 	 (0.98 / 0.93) 
1044.	 51.9 	 C0 - 4.0 mA	 C3 - 3.0 mA 	 (0.93 / 0.97) 
1045.	 51.9 	 C0 - 2.5 mA	 C1 - 1.5 mA 	 (0.98 / 1.00) 
1046.	 51.8 	 C1 - 5.5 mA	 C3 - 5.0 mA 	 (0.97 / 0.92) 
1047.	 51.7 	 C2 - 3.0 mA	 C2 - 2.5 mA 	 (1.00 / 1.00) 
1048.	 51.5 	 C0 - 2.0 mA	 C1 - 3.0 mA 	 (0.99 / 1.00) 
1049.	 51.4 	 C0 - 1.5 mA	 C1 - 4.0 mA 	 (0.99 / 1.00) 
1050.	 51.3 	 C3 - 4.0 mA	 C3 - 5.5 mA 	 (0.97 / 0.91) 
1051.	 50.8 	 C2 - 3.0 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
1052.	 50.6 	 C3 - 3.0 mA	 C3 - 3.5 mA 	 (0.99 / 0.96) 
1053.	 50.6 	 C2 - 3.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
1054.	 50.5 	 C1 - 2.0 mA	 C2 - 3.0 mA 	 (1.00 / 1.00) 
1055.	 50.5 	 C1 - 2.0 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
1056.	 50.5 	 C2 - 2.5 mA	 C2 - 4.5 mA 	 (1.00 / 1.00) 
1057.	 50.5 	 C1 - 5.0 mA	 C3 - 5.0 mA 	 (0.98 / 0.92) 
1058.	 50.5 	 C3 - 2.5 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
1059.	 50.5 	 C0 - 4.5 mA	 C3 - 3.5 mA 	 (0.92 / 0.96) 
1060.	 50.5 	 C2 - 4.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
1061.	 50.4 	 C3 - 3.5 mA	 C3 - 4.5 mA 	 (0.98 / 0.93) 
1062.	 50.4 	 C1 - 5.5 mA	 C3 - 5.5 mA 	 (0.97 / 0.91) 
1063.	 50.3 	 C0 - 5.5 mA	 C3 - 4.5 mA 	 (0.89 / 0.93) 
1064.	 50.0 	 C0 - 1.5 mA	 C1 - 4.5 mA 	 (0.99 / 1.00) 
1065.	 50.0 	 C0 - 1.5 mA	 C1 - 2.5 mA 	 (0.99 / 1.00) 
1066.	 49.9 	 C1 - 4.0 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1067.	 49.9 	 C1 - 4.5 mA	 C3 - 4.5 mA 	 (0.99 / 0.93) 
1068.	 49.7 	 C2 - 3.5 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1069.	 49.6 	 C2 - 2.5 mA	 C2 - 5.0 mA 	 (1.00 / 1.00) 
1070.	 49.4 	 C0 - 1.5 mA	 C1 - 2.0 mA 	 (0.99 / 1.00) 
1071.	 49.0 	 C1 - 5.0 mA	 C3 - 5.5 mA 	 (0.98 / 0.91) 
1072.	 48.8 	 C0 - 5.0 mA	 C3 - 4.5 mA 	 (0.90 / 0.93) 
1073.	 48.8 	 C3 - 3.5 mA	 C3 - 5.0 mA 	 (0.98 / 0.92) 
1074.	 48.7 	 C2 - 4.0 mA	 C3 - 5.5 mA 	 (1.00 / 0.91) 
1075.	 48.7 	 C0 - 2.0 mA	 C1 - 4.0 mA 	 (0.99 / 1.00) 
1076.	 48.7 	 C1 - 3.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
1077.	 48.7 	 C2 - 2.5 mA	 C2 - 2.0 mA 	 (1.00 / 1.00) 
1078.	 48.6 	 C2 - 2.0 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
1079.	 48.4 	 C0 - 5.5 mA	 C3 - 5.0 mA 	 (0.89 / 0.92) 
1080.	 48.4 	 C1 - 4.5 mA	 C3 - 5.0 mA 	 (0.99 / 0.92) 
1081.	 48.4 	 C3 - 3.0 mA	 C3 - 4.0 mA 	 (0.99 / 0.95) 
1082.	 48.3 	 C1 - 3.5 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1083.	 48.2 	 C0 - 2.0 mA	 C1 - 2.5 mA 	 (0.99 / 1.00) 
1084.	 48.1 	 C0 - 3.5 mA	 C3 - 2.5 mA 	 (0.95 / 0.99) 
1085.	 48.1 	 C0 - 2.0 mA	 C1 - 2.0 mA 	 (0.99 / 1.00) 
1086.	 48.0 	 C1 - 2.5 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
1087.	 47.8 	 C2 - 2.5 mA	 C2 - 5.5 mA 	 (1.00 / 1.00) 
1088.	 47.7 	 C0 - 2.0 mA	 C1 - 4.5 mA 	 (0.99 / 1.00) 
1089.	 47.6 	 C0 - 4.5 mA	 C3 - 4.0 mA 	 (0.92 / 0.95) 
1090.	 47.6 	 C0 - 3.5 mA	 C2 - 2.5 mA 	 (0.95 / 1.00) 
1091.	 47.3 	 C2 - 3.5 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1092.	 47.2 	 C3 - 3.5 mA	 C3 - 5.5 mA 	 (0.98 / 0.91) 
1093.	 47.1 	 C0 - 4.0 mA	 C3 - 3.5 mA 	 (0.93 / 0.96) 
1094.	 47.1 	 C1 - 4.0 mA	 C3 - 4.5 mA 	 (1.00 / 0.93) 
1095.	 47.0 	 C0 - 5.0 mA	 C3 - 5.0 mA 	 (0.90 / 0.92) 
1096.	 46.8 	 C0 - 2.5 mA	 C3 - 1.5 mA 	 (0.98 / 1.00) 
1097.	 46.8 	 C1 - 4.5 mA	 C3 - 5.5 mA 	 (0.99 / 0.91) 
1098.	 46.8 	 C3 - 2.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
1099.	 46.7 	 C1 - 1.5 mA	 C3 - 2.0 mA 	 (1.00 / 1.00) 
1100.	 46.7 	 C3 - 2.5 mA	 C3 - 3.5 mA 	 (1.00 / 0.96) 
1101.	 46.6 	 C2 - 2.0 mA	 C2 - 1.5 mA 	 (1.00 / 1.00) 
1102.	 46.5 	 C0 - 5.5 mA	 C3 - 5.5 mA 	 (0.89 / 0.91) 
1103.	 46.4 	 C0 - 3.5 mA	 C2 - 3.0 mA 	 (0.95 / 1.00) 
1104.	 46.3 	 C3 - 1.5 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
1105.	 46.1 	 C2 - 2.5 mA	 C3 - 2.5 mA 	 (1.00 / 0.99) 
1106.	 46.0 	 C1 - 3.5 mA	 C3 - 4.0 mA 	 (1.00 / 0.95) 
1107.	 45.8 	 C0 - 3.0 mA	 C3 - 2.0 mA 	 (0.97 / 1.00) 
1108.	 45.7 	 C2 - 2.5 mA	 C2 - 3.5 mA 	 (1.00 / 1.00) 
1109.	 45.6 	 C2 - 2.0 mA	 C2 - 4.0 mA 	 (1.00 / 1.00) 
1110.	 45.5 	 C2 - 3.0 mA	 C3 - 3.0 mA 	 (1.00 / 0.97) 
1111.	 45.5 	 C1 - 4.0 mA	 C3 - 5.0 mA 	 (1.00 / 0.92) 
